Combination,Capacitance,Total Volume
"[4.7e-05, 0.00047, 0.00068, 0.00082]",0,0.0
"[4.7e-05, 0.00047, 0.00068, 0.001]",0,0.0
"[4.7e-05, 0.00047, 0.00082, 0.001]",0,0.0
"[4.7e-05, 0.00068, 0.00082, 0.001]",0,0.0
"[0.0001, 0.00022, 0.00033, 0.00047]",0,0.0
"[0.0001, 0.00022, 0.00033, 0.00068]",0,0.0
"[0.0001, 0.00022, 0.00033, 0.00082]",0,0.0
"[0.0001, 0.00022, 0.00033, 0.001]",0,0.0
"[0.0001, 0.00022, 0.00047, 0.00068]",0,0.0
"[0.0001, 0.00022, 0.00047, 0.00082]",0,0.0
"[0.0001, 0.00022, 0.00047, 0.001]",0,0.0
"[0.0001, 0.00022, 0.00068, 0.00082]",0,0.0
"[0.0001, 0.00022, 0.00068, 0.001]",0,0.0
"[0.0001, 0.00022, 0.00082, 0.001]",0,0.0
"[0.0001, 0.00033, 0.00047, 0.00068]",0,0.0
"[0.0001, 0.00033, 0.00047, 0.00082]",0,0.0
"[0.0001, 0.00033, 0.00047, 0.001]",0,0.0
"[0.0001, 0.00033, 0.00068, 0.00082]",0,0.0
"[0.0001, 0.00033, 0.00068, 0.001]",0,0.0
"[0.0001, 0.00033, 0.00082, 0.001]",0,0.0
"[0.0001, 0.00047, 0.00068, 0.00082]",0,0.0
"[0.0001, 0.00047, 0.00068, 0.001]",0,0.0
"[0.0001, 0.00047, 0.00082, 0.001]",0,0.0
"[0.0001, 0.00068, 0.00082, 0.001]",0,0.0
"[0.00022, 0.00033, 0.00047, 0.00068]",0,0.0
"[0.00022, 0.00033, 0.00047, 0.00082]",0,0.0
"[0.00022, 0.00033, 0.00047, 0.001]",0,0.0
"[0.00022, 0.00033, 0.00068, 0.00082]",0,0.0
"[0.00022, 0.00033, 0.00068, 0.001]",0,0.0
"[0.00022, 0.00033, 0.00082, 0.001]",0,0.0
"[0.00022, 0.00047, 0.00068, 0.00082]",0,0.0
"[0.00022, 0.00047, 0.00068, 0.001]",0,0.0
"[0.00022, 0.00047, 0.00082, 0.001]",0,0.0
"[0.00022, 0.00068, 0.00082, 0.001]",0,0.0
"[0.00033, 0.00047, 0.00068, 0.00082]",0,0.0
"[0.00033, 0.00047, 0.00068, 0.001]",0,0.0
"[0.00033, 0.00047, 0.00082, 0.001]",0,0.0
"[0.00033, 0.00068, 0.00082, 0.001]",0,0.0
"[0.00047, 0.00068, 0.00082, 0.001]",0,0.0
"[4.7e-05, 0.0001, 0.00022, 0.00033, 0.00047]",0,0.0
"[4.7e-05, 0.0001, 0.00022, 0.00033, 0.00068]",0,0.0
"[4.7e-05, 0.0001, 0.00022, 0.00033, 0.00082]",0,0.0
"[4.7e-05, 0.0001, 0.00022, 0.00033, 0.001]",0,0.0
"[4.7e-05, 0.0001, 0.00022, 0.00047, 0.00068]",0,0.0
"[4.7e-05, 0.0001, 0.00022, 0.00047, 0.00082]",0,0.0
"[4.7e-05, 0.0001, 0.00022, 0.00047, 0.001]",0,0.0
"[4.7e-05, 0.0001, 0.00022, 0.00068, 0.00082]",0,0.0
"[4.7e-05, 0.0001, 0.00022, 0.00068, 0.001]",0,0.0
"[4.7e-05, 0.0001, 0.00022, 0.00082, 0.001]",0,0.0
"[4.7e-05, 0.0001, 0.00033, 0.00047, 0.00068]",0,0.0
"[4.7e-05, 0.0001, 0.00033, 0.00047, 0.00082]",0,0.0
"[4.7e-05, 0.0001, 0.00033, 0.00047, 0.001]",0,0.0
"[4.7e-05, 0.0001, 0.00033, 0.00068, 0.00082]",0,0.0
"[4.7e-05, 0.0001, 0.00033, 0.00068, 0.001]",0,0.0
"[4.7e-05, 0.0001, 0.00033, 0.00082, 0.001]",0,0.0
"[4.7e-05, 0.0001, 0.00047, 0.00068, 0.00082]",0,0.0
"[4.7e-05, 0.0001, 0.00047, 0.00068, 0.001]",0,0.0
"[4.7e-05, 0.0001, 0.00047, 0.00082, 0.001]",0,0.0
"[4.7e-05, 0.0001, 0.00068, 0.00082, 0.001]",0,0.0
"[4.7e-05, 0.00022, 0.00033, 0.00047, 0.00068]",0,0.0
"[4.7e-05, 0.00022, 0.00033, 0.00047, 0.00082]",0,0.0
"[4.7e-05, 0.00022, 0.00033, 0.00047, 0.001]",0,0.0
"[4.7e-05, 0.00022, 0.00033, 0.00068, 0.00082]",0,0.0
"[4.7e-05, 0.00022, 0.00033, 0.00068, 0.001]",0,0.0
"[4.7e-05, 0.00022, 0.00033, 0.00082, 0.001]",0,0.0
"[4.7e-05, 0.00022, 0.00047, 0.00068, 0.00082]",0,0.0
"[4.7e-05, 0.00022, 0.00047, 0.00068, 0.001]",0,0.0
"[4.7e-05, 0.00022, 0.00047, 0.00082, 0.001]",0,0.0
"[4.7e-05, 0.00022, 0.00068, 0.00082, 0.001]",0,0.0
"[4.7e-05, 0.00033, 0.00047, 0.00068, 0.00082]",0,0.0
"[4.7e-05, 0.00033, 0.00047, 0.00068, 0.001]",0,0.0
"[4.7e-05, 0.00033, 0.00047, 0.00082, 0.001]",0,0.0
"[4.7e-05, 0.00033, 0.00068, 0.00082, 0.001]",0,0.0
"[4.7e-05, 0.00047, 0.00068, 0.00082, 0.001]",0,0.0
"[0.0001, 0.00022, 0.00033, 0.00047, 0.00068]",0,0.0
"[0.0001, 0.00022, 0.00033, 0.00047, 0.00082]",0,0.0
"[0.0001, 0.00022, 0.00033, 0.00047, 0.001]",0,0.0
"[0.0001, 0.00022, 0.00033, 0.00068, 0.00082]",0,0.0
"[0.0001, 0.00022, 0.00033, 0.00068, 0.001]",0,0.0
"[0.0001, 0.00022, 0.00033, 0.00082, 0.001]",0,0.0
"[0.0001, 0.00022, 0.00047, 0.00068, 0.00082]",0,0.0
"[0.0001, 0.00022, 0.00047, 0.00068, 0.001]",0,0.0
"[0.0001, 0.00022, 0.00047, 0.00082, 0.001]",0,0.0
"[0.0001, 0.00022, 0.00068, 0.00082, 0.001]",0,0.0
"[0.0001, 0.00033, 0.00047, 0.00068, 0.00082]",0,0.0
"[0.0001, 0.00033, 0.00047, 0.00068, 0.001]",0,0.0
"[0.0001, 0.00033, 0.00047, 0.00082, 0.001]",0,0.0
"[0.0001, 0.00033, 0.00068, 0.00082, 0.001]",0,0.0
"[0.0001, 0.00047, 0.00068, 0.00082, 0.001]",0,0.0
"[0.00022, 0.00033, 0.00047, 0.00068, 0.00082]",0,0.0
"[0.00022, 0.00033, 0.00047, 0.00068, 0.001]",0,0.0
"[0.00022, 0.00033, 0.00047, 0.00082, 0.001]",0,0.0
"[0.00022, 0.00033, 0.00068, 0.00082, 0.001]",0,0.0
"[0.00022, 0.00047, 0.00068, 0.00082, 0.001]",0,0.0
"[0.00033, 0.00047, 0.00068, 0.00082, 0.001]",0,0.0
