Combination,Cap(uF),Total_Volume(mm^2)
47.0,47.0,215.98449493429828
100.0,100.0,342.8969841576919
220.0,220.0,578.0530482605219
330.0,330.0,753.9822368615503
470.0,470.0,1005.3096491487338
680.0,680.0,1570.7963267948967
820.0,820.0,1963.4954084936207
1000.0,1000.0,2454.369260617026
47.0 + 100.0,31.97278911564626,558.8814790919902
47.0 + 220.0,38.72659176029963,794.0375431948202
47.0 + 330.0,41.14058355437666,969.9667317958485
47.0 + 470.0,42.72727272727273,1221.294144083032
47.0 + 680.0,43.96148555708391,1786.780821729195
47.0 + 820.0,44.45213379469435,2179.479903427919
47.0 + 1000.0,44.8901623686724,2670.3537555513244
100.0 + 220.0,68.75,920.9500324182138
100.0 + 330.0,76.74418604651163,1096.8792210192423
100.0 + 470.0,82.45614035087719,1348.2066333064258
100.0 + 680.0,87.17948717948718,1913.6933109525885
100.0 + 820.0,89.1304347826087,2306.3923926513125
100.0 + 1000.0,90.90909090909092,2797.266244774718
220.0 + 330.0,132.0,1332.0352851220723
220.0 + 470.0,149.85507246376812,1583.3626974092558
220.0 + 680.0,166.22222222222223,2148.8493750554185
220.0 + 820.0,173.46153846153845,2541.5484567541425
220.0 + 1000.0,180.32786885245903,3032.422308877548
330.0 + 470.0,193.875,1759.291886010284
330.0 + 680.0,222.17821782178217,2324.7785636564467
330.0 + 820.0,235.30434782608697,2717.4776453551713
330.0 + 1000.0,248.1203007518797,3208.3514974785767
470.0 + 680.0,277.9130434782609,2576.1059759436303
470.0 + 820.0,298.7596899224806,2968.8050576423548
470.0 + 1000.0,319.7278911564626,3459.67890976576
680.0 + 820.0,371.7333333333333,3534.2917352885174
680.0 + 1000.0,404.76190476190476,4025.165587411923
820.0 + 1000.0,450.5494505494505,4417.864669110647
47.0 + 100.0 + 220.0,27.915766738660906,1136.934527352512
47.0 + 100.0 + 330.0,29.148656267618872,1312.8637159535406
47.0 + 100.0 + 470.0,29.936305732484076,1564.191128240724
47.0 + 100.0 + 680.0,30.53697687750812,2129.6778058868867
47.0 + 100.0 + 820.0,30.772916001277547,2522.376887585611
47.0 + 100.0 + 1000.0,30.98220171390903,3013.250739709016
